NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1532,E1320100011201,由木中学校,東京都八王子市下柚木2-34-2,1,1,,1,,,1,,1,35.626698729976,139.38545933781,想定収容人数：地震（屋外）5394人、風水害（屋内）1603人
1533,E1320100012201,由木中央小学校,東京都八王子市下柚木25,1,1,,1,,,1,,1,35.629492767152,139.38358024849,想定収容人数：地震（屋外）5333人、風水害（屋内）1755人
1534,E1320100013201,下柚木小学校,東京都八王子市下柚木3-9,1,1,,1,,,1,,1,35.622675662882,139.38116612401,想定収容人数：地震（屋外）5230人、風水害（屋内）1163人
1535,E1320100014201,加住小中学校　本校舎,東京都八王子市加住町1-191,1,1,,1,,,1,,1,35.701712840995,139.31696636967,想定収容人数：地震（屋外）5278人、風水害（屋内）1053人
1536,E1320100015201,加住市民センター,東京都八王子市加住町1-338,1,1,,,,,1,,1,35.699482314011,139.32397915698,想定収容人数：風水害（屋内）443人
1537,E1320100016201,元八王子東小学校,東京都八王子市叶谷町1521,1,1,,1,,,1,,1,35.670883332801,139.30393403761,想定収容人数：地震（屋外）6638人、風水害（屋内）1333人
1538,E1320100017201,翔陽高等学校,東京都八王子市館町1097-136,1,,,1,,,1,,1,35.629403138652,139.29200697093,想定収容人数：地震（屋外）13289人、風水害（屋内）674人
1539,E1320100018201,館小中学校　本校舎,東京都八王子市館町1097-15,1,1,,1,,,1,,1,35.629881859159,139.28831203667,想定収容人数：地震（屋外）6578人、風水害（屋内）1021人
1540,E1320100019201,高尾山学園　（小・中学部）,東京都八王子市館町1097-30,1,1,,1,,,1,,1,35.624185753869,139.28865604286,想定収容人数：地震（屋外）6028人、風水害（屋内）1181人
1541,E1320100020201,館小中学校　分校舎,東京都八王子市館町2786,1,1,,1,,,1,,1,35.627365847809,139.29062119114,想定収容人数：地震（屋外）6880人、風水害（屋内）1450人
1542,E1320100021201,横山第一小学校,東京都八王子市館町74,1,1,,1,,,1,,1,35.633545239159,139.30442413536,想定収容人数：地震（屋外）4174人、風水害（屋内）1372人
1543,E1320100022201,拓殖大学,東京都八王子市館町815-1,,,,1,,,,,,35.626634839558,139.27816879251,想定収容人数：地震（屋外）26666人
1544,E1320100023201,宇津木台小学校,東京都八王子市久保山町2-18,1,,,1,,,1,,1,35.686598070423,139.35436253085,想定収容人数：地震（屋外）5623人、風水害（屋内）1423人
1545,E1320100024201,石川中学校,東京都八王子市久保山町2-55,1,1,,1,,,1,,1,35.683245732216,139.35781708025,想定収容人数：地震（屋外）4848人、風水害（屋内）1703人
1546,E1320100025201,加住小中学校　分校舎,東京都八王子市宮下町108-7,1,,,1,,,1,,1,35.704247,139.314229,想定収容人数：地震（屋外）6670人、風水害（屋内）1214人
